license,name,state,address,cdpostal,Municipi,Comarca
HUTB-005926,Sense especificar,Alta,Carrer Espronceda 395,8027,Barcelona,Barcelonès
HUTB-005927,Sense especificar,Alta,Passatge de Nogués 2-4,8025,Barcelona,Barcelonès
HUTB-005928,Sense especificar,Alta,Avinguda Roma 113,8011,Barcelona,Barcelonès
HUTB-005931,Sense especificar,Alta,Avinguda Republica Argentina 57,8023,Barcelona,Barcelonès
HUTB-005935,Sense especificar,Alta,Carrer Parlament 31,8015,Barcelona,Barcelonès
HUTB-005936,Sense especificar,Alta,Carrer Balmes 69,8007,Barcelona,Barcelonès
HUTB-005938,diputacio 36 4º 1ª Barcelona,Alta,Carrer Diputació 36,8015,Barcelona,Barcelonès
HUTB-005939,Sense especificar,Alta,Travessera Gracia 190,8012,Barcelona,Barcelonès
HUTB-005940,Sense especificar,Alta,Carrer Joan Blanques 67-69,8024,Barcelona,Barcelonès
HUTB-005942,Sense especificar,Alta,Carrer Bisbe Sivilla 41,8022,Barcelona,Barcelonès
HUTB-005944,Sense especificar,Alta,Carrer Aldana 9,8015,Barcelona,Barcelonès
HUTB-005947,Sense especificar,Alta,Carrer Pallars 378,8019,Barcelona,Barcelonès
HUTB-005948,Sense especificar,Alta,Carrer Rossello 297,8037,Barcelona,Barcelonès
HUTB-005949,Sense especificar,Alta,Carrer Provença 325,8037,Barcelona,Barcelonès
HUTB-005950,Sense especificar,Alta,Avinguda Gaudí 27-29,8025,Barcelona,Barcelonès
HUTB-005951,Sense especificar,Alta,Rambla Badal 46-50,8014,Barcelona,Barcelonès
HUTB-005953,GRACIA 3-2,Alta,Carrer Gran de Gràcia 16,8012,Barcelona,Barcelonès
HUTB-005955,Sense especificar,Alta,Carrer Gran de Gracia 16,8012,Barcelona,Barcelonès
HUTB-005956,Sense especificar,Alta,Carrer JOSEP PLA 21,8019,Barcelona,Barcelonès
HUTB-005957,Sense especificar,Alta,Carrer Dos de Maig 238,8013,Barcelona,Barcelonès
HUTB-005958,Gaudint Barcelona Suites,Alta,Carrer Varsovia 113,8041,Barcelona,Barcelonès
HUTB-005959,Sense especificar,Alta,Carrer SALVÀ 52,8004,Barcelona,Barcelonès
HUTB-005961,Sense especificar,Alta,Carrer Sagues 49,8021,Barcelona,Barcelonès
HUTB-005963,Sense especificar,Alta,Carrer ARIBAU 47,8011,Barcelona,Barcelonès
HUTB-005964,Sense especificar,Alta,Rambla Poblenou 11,8005,Barcelona,Barcelonès
HUTB-005965,Sense especificar,Alta,Carrer Arago 39,8015,Barcelona,Barcelonès
HUTB-005969,Sense especificar,Alta,Carrer Rossello 95,8029,Barcelona,Barcelonès
HUTB-005971,Sense especificar,Alta,Carrer Roger de Flor 89,8013,Barcelona,Barcelonès
HUTB-005972,Sense especificar,Alta,Carrer Girona 150,8037,Barcelona,Barcelonès
HUTB-005973,Sense especificar,Alta,Torrent Blanca 119,8028,Barcelona,Barcelonès
HUTB-005977,Sense especificar,Alta,Carrer Riera Blanca 119,8028,Barcelona,Barcelonès
HUTB-005978,Sense especificar,Alta,Avinguda Diagonal 319,8009,Barcelona,Barcelonès
HUTB-005979,Sense especificar,Alta,Carrer Lepant 285,8025,Barcelona,Barcelonès
HUTB-005981,Sense especificar,Alta,Carrer Mallorca 470,8013,Barcelona,Barcelonès
HUTB-005982,Sense especificar,Alta,Carrer MUNTANER 111,8036,Barcelona,Barcelonès
HUTB-005983,Sense especificar,Alta,Carrer Marques de Campo Sagrado 28,8015,Barcelona,Barcelonès
HUTB-005984,Sense especificar,Alta,Carrer Teodora Lamadrid 52-60,8022,Barcelona,Barcelonès
HUTB-005985,Sense especificar,Alta,Carrer Balmes 246,8006,Barcelona,Barcelonès
HUTB-005986,Sense especificar,Alta,Carrer Aribau 304,8006,Barcelona,Barcelonès
HUTB-005989,Sense especificar,Alta,Carrer Industria 8,8037,Barcelona,Barcelonès
HUTB-005991,Sense especificar,Alta,Carrer Verdi 103,8012,Barcelona,Barcelonès
HUTB-005992,Sense especificar,Alta,Carrer Comte Urgell 172,8036,Barcelona,Barcelonès
HUTB-005994,Sense especificar,Alta,Carrer Casp 30,8010,Barcelona,Barcelonès
HUTB-005995,Sense especificar,Alta,Carrer Pau Claris 97,8010,Barcelona,Barcelonès
HUTB-005996,Sense especificar,Alta,Passeig Gràcia 51,8007,Barcelona,Barcelonès
HUTB-005998,Sense especificar,Alta,Passeig Gracia 51,8007,Barcelona,Barcelonès
HUTB-006000,Sense especificar,Alta,Passatge Bori 6,8005,Barcelona,Barcelonès
HUTB-006010,Sense especificar,Alta,Carrer Santa Rosa 19,8012,Barcelona,Barcelonès
HUTB-006017,Sense especificar,Alta,Carrer PROVENÇA 424,8025,Barcelona,Barcelonès
HUTB-006018,Sense especificar,Alta,Carrer Provença 78,8029,Barcelona,Barcelonès
HUTB-006019,Sense especificar,Alta,Carrer MUNTANER 83,8011,Barcelona,Barcelonès
HUTB-006020,Sense especificar,Alta,Carrer Sepulveda 93,8015,Barcelona,Barcelonès
HUTB-006021,Sense especificar,Alta,Carrer NAPOLS 13-15,8018,Barcelona,Barcelonès
HUTB-006022,Sense especificar,Alta,Carrer Tirant Lo Blanc 8,8005,Barcelona,Barcelonès
HUTB-006023,Sense especificar,Alta,Carrer Rossello 244,8008,Barcelona,Barcelonès
HUTB-006025,Sense especificar,Alta,Carrer Lope de Vega 58,8005,Barcelona,Barcelonès
HUTB-006026,Sense especificar,Alta,Carrer Ballester 21-23,8023,Barcelona,Barcelonès
HUTB-006032,Sense especificar,Alta,Carrer d Aragó 207,8007,Barcelona,Barcelonès
HUTB-006033,Sense especificar,Alta,Carrer Fontanella 11,8010,Barcelona,Barcelonès
HUTB-006036,Sense especificar,Alta,Carrer fontanella 11,8010,Barcelona,Barcelonès
HUTB-006057,BCN5001 Casa Serra,Alta,Carrer ROGER DE LLURIA 125,8037,Barcelona,Barcelonès
HUTB-006060,Sense especificar,Alta,Carrer Valencia 248,8007,Barcelona,Barcelonès
HUTB-006064,Sense especificar,Alta,Carrer de la Marina 240,8013,Barcelona,Barcelonès
HUTB-006066,Sense especificar,Alta,Carrer Torrent d'en Vidalet 64,8012,Barcelona,Barcelonès
HUTB-006117,Sense especificar,Alta,Carrer Sardenya 248,8013,Barcelona,Barcelonès
HUTB-006258,Sense especificar,Alta,Carrer Pujades 238,8005,Barcelona,Barcelonès
HUTB-006261,Apartamento Planas,Alta,Carrer Poeta Cabanyes 86,8004,Barcelona,Barcelonès
HUTB-006262,Sense especificar,Alta,Avinguda PARAL.LEL 113,8004,Barcelona,Barcelonès
HUTB-006266,Sense especificar,Alta,Carrer Comte Urgell 74,8011,Barcelona,Barcelonès
HUTB-006267,Sense especificar,Alta,Carrer Llibertat 43,8012,Barcelona,Barcelonès
HUTB-006270,Sense especificar,Alta,Carrer Calabria 222,8029,Barcelona,Barcelonès
HUTB-006291,Sense especificar,Alta,Carrer Gran Via Corts Catalanes 667,8010,Barcelona,Barcelonès
HUTB-006292,BCN0004 RamCat 113,Alta,Rambla Catalunya 113,8008,Barcelona,Barcelonès
HUTB-006295,Sense especificar,Alta,Carrer Doctor Rizal 2,8006,Barcelona,Barcelonès
HUTB-006296,Sense especificar,Alta,Carrer d' Aragó 147,8011,Barcelona,Barcelonès
HUTB-006297,Sense especificar,Alta,Carrer Rosa Sensat 31,8005,Barcelona,Barcelonès
HUTB-006298,Sense especificar,Alta,Carrer CREU DELS MOLERS 76,8004,Barcelona,Barcelonès
HUTB-006302,Sense especificar,Alta,Carrer Massens 23,8024,Barcelona,Barcelonès
HUTB-006307,Sense especificar,Alta,Carrer Comte Urgell 62,8011,Barcelona,Barcelonès
HUTB-006308,Sense especificar,Alta,Carrer BERGNES DE LAS CASAS 22,8025,Barcelona,Barcelonès
HUTB-006309,Sense especificar,Alta,Carrer Independencia 257,8026,Barcelona,Barcelonès
HUTB-006311,Sense especificar,Alta,Carrer Creu Coberta 50,8014,Barcelona,Barcelonès
HUTB-006312,Sense especificar,Alta,Carrer Sardenya 338,8025,Barcelona,Barcelonès
HUTB-006313,Sense especificar,Alta,Carrer Corsega 193,8036,Barcelona,Barcelonès
HUTB-006323,Sense especificar,Alta,Passatge CONCEPCIO 2,8008,Barcelona,Barcelonès
HUTB-006325,Sense especificar,Alta,Travessera Gracia 187,8012,Barcelona,Barcelonès
HUTB-006333,Sense especificar,Alta,Avinguda MISTRAL 61,8015,Barcelona,Barcelonès
HUTB-006347,Sense especificar,Alta,Carrer Independencia 258,8026,Barcelona,Barcelonès
HUTB-006349,Sense especificar,Alta,Carrer Mallorca 496,8013,Barcelona,Barcelonès
HUTB-006352,Sense especificar,Alta,Passeig Taulat 271,8019,Barcelona,Barcelonès
HUTB-006361,Sense especificar,Alta,Carrer ARAGO 11,8015,Barcelona,Barcelonès
HUTB-006367,Sense especificar,Alta,Carrer Blai 1,8004,Barcelona,Barcelonès
HUTB-006368,Sense especificar,Alta,Carrer Asturies 36,8012,Barcelona,Barcelonès
HUTB-006369,Sense especificar,Alta,Carrer Industria 276-280,8026,Barcelona,Barcelonès
HUTB-006377,Sense especificar,Alta,Travessera Gracia 316-322,8025,Barcelona,Barcelonès
HUTB-006378,Sense especificar,Alta,Ronda Sant Pere 35,8010,Barcelona,Barcelonès
HUTB-006388,Sense especificar,Alta,Carrer Verntallat 8,8024,Barcelona,Barcelonès
HUTB-006390,Sense especificar,Alta,Carrer Pujades 286,8005,Barcelona,Barcelonès
HUTB-006392,Sense especificar,Alta,Carrer Bailen 212,8037,Barcelona,Barcelonès
HUTB-006393,Sense especificar,Alta,Travessera Gracia 274,8025,Barcelona,Barcelonès
HUTB-006395,Sense especificar,Alta,Carrer Doctor Trueta 173,8005,Barcelona,Barcelonès
HUTB-006396,Sense especificar,Alta,Carrer Espronceda 88,8005,Barcelona,Barcelonès
HUTB-006398,Sense especificar,Alta,Carrer Sagunt 71,8014,Barcelona,Barcelonès
HUTB-006400,Sense especificar,Alta,Carrer Valencia 288,8007,Barcelona,Barcelonès
HUTB-006401,Sense especificar,Alta,Carrer Roger de Flor 241,8025,Barcelona,Barcelonès
HUTB-006402,Sense especificar,Alta,Carrer Lope de Vega 115,8005,Barcelona,Barcelonès
HUTB-006464,Sense especificar,Alta,Carrer d Aribau 280,8006,Barcelona,Barcelonès
HUTB-006465,Sense especificar,Alta,Carrer FLORIDABLANCA 148,8011,Barcelona,Barcelonès
HUTB-006466,Sense especificar,Alta,Carrer Daoiz i Velarde 34,8028,Barcelona,Barcelonès
HUTB-006475,Sense especificar,Alta,Carrer Marina 71-73,8005,Barcelona,Barcelonès
HUTB-006478,Sense especificar,Alta,Carrer Aribau 100,8036,Barcelona,Barcelonès
HUTB-006479,ZENBCN,Alta,Carrer Ramon y Cajal 95,8012,Barcelona,Barcelonès
HUTB-006481,Sense especificar,Alta,Carrer Cartagena 269,8025,Barcelona,Barcelonès
HUTB-006482,Sense especificar,Alta,Carrer Sardenya 281,8013,Barcelona,Barcelonès
HUTB-006487,Sense especificar,Alta,Carrer Sepulveda 156-160,8011,Barcelona,Barcelonès
HUTB-006488,Sense especificar,Alta,Carrer Sicilia 211,8013,Barcelona,Barcelonès
HUTB-006489,Sense especificar,Alta,Carrer Diputació 199,8011,Barcelona,Barcelonès
HUTB-006490,Sense especificar,Alta,Carrer CALABRIA 120,8015,Barcelona,Barcelonès
HUTB-006491,Sense especificar,Alta,Carrer Floridablanca 65,8015,Barcelona,Barcelonès
HUTB-006508,Sense especificar,Alta,Carrer Valencia 494-498,8013,Barcelona,Barcelonès
HUTB-006509,Sense especificar,Alta,Carrer Gran de Gracia 44,8012,Barcelona,Barcelonès
HUTB-006513,Sense especificar,Alta,Plaça Catalunya 8,8007,Barcelona,Barcelonès
HUTB-006514,Sense especificar,Alta,Passeig Gracia 15,8007,Barcelona,Barcelonès
HUTB-006515,Sense especificar,Alta,Ronda Sant Pere 28-30,8010,Barcelona,Barcelonès
HUTB-006517,Sense especificar,Alta,Carrer Mallorca 371,8013,Barcelona,Barcelonès
HUTB-006518,Sense especificar,Alta,Carrer Pi i Margall 7,8024,Barcelona,Barcelonès
HUTB-006519,Sense especificar,Alta,Carrer SUGRANYES 94,8028,Barcelona,Barcelonès
HUTB-006559,Sense especificar,Alta,Carrer Floridablanca 3,8015,Barcelona,Barcelonès
HUTB-006560,Sense especificar,Alta,Carrer Valencia 492,8013,Barcelona,Barcelonès
HUTB-006561,Sense especificar,Alta,Carrer Padilla 305,8025,Barcelona,Barcelonès
HUTB-006562,Sense especificar,Alta,Carrer Diputacio 12,8015,Barcelona,Barcelonès
HUTB-006563,Sense especificar,Alta,Carrer LEPANT 365,8025,Barcelona,Barcelonès
HUTB-006564,Sense especificar,Alta,Carrer Lepant 220,8013,Barcelona,Barcelonès
HUTB-006565,Sense especificar,Alta,Carrer Rossello 362-364,8025,Barcelona,Barcelonès
