date,price,city
Marzo 2016,6.4,valencia
Febrero 2016,6.3,valencia
Enero 2016,6.2,valencia
Diciembre 2015,6.2,valencia
Noviembre 2015,6.1,valencia
Octubre 2015,6.1,valencia
Septiembre 2015,6.1,valencia
Agosto 2015,6.0,valencia
Julio 2015,6.1,valencia
Junio 2015,6.1,valencia
Mayo 2015,6.1,valencia
Abril 2015,6.1,valencia
Marzo 2015,6.0,valencia
Febrero 2015,6.0,valencia
Enero 2015,6.0,valencia
Diciembre 2014,6.0,valencia
Noviembre 2014,6.0,valencia
Octubre 2014,5.9,valencia
Septiembre 2014,5.9,valencia
Agosto 2014,5.9,valencia
Julio 2014,5.8,valencia
Junio 2014,5.8,valencia
Mayo 2014,5.8,valencia
Abril 2014,5.9,valencia
Marzo 2014,5.8,valencia
Febrero 2014,5.8,valencia
Enero 2014,5.9,valencia
Diciembre 2013,5.9,valencia
Noviembre 2013,5.9,valencia
Octubre 2013,5.9,valencia
Septiembre 2013,5.9,valencia
Agosto 2013,5.9,valencia
Julio 2013,6.0,valencia
Junio 2013,6.0,valencia
Mayo 2013,6.0,valencia
Abril 2013,5.9,valencia
Marzo 2013,6.0,valencia
Febrero 2013,6.0,valencia
Enero 2013,6.0,valencia
Diciembre 2012,6.0,valencia
Noviembre 2012,6.1,valencia
Octubre 2012,6.1,valencia
Septiembre 2012,6.2,valencia
Agosto 2012,6.2,valencia
Julio 2012,6.2,valencia
Junio 2012,6.2,valencia
Mayo 2012,6.3,valencia
Abril 2012,6.3,valencia
Marzo 2012,6.4,valencia
Febrero 2012,6.4,valencia
Enero 2012,6.4,valencia
Diciembre 2011,6.5,valencia
Noviembre 2011,6.6,valencia
Octubre 2011,6.5,valencia
Septiembre 2011,6.5,valencia
Agosto 2011,6.5,valencia
Julio 2011,6.6,valencia
Junio 2011,6.7,valencia
Mayo 2011,6.6,valencia
Abril 2011,6.6,valencia
Marzo 2011,6.6,valencia
Febrero 2011,6.5,valencia
Enero 2011,6.6,valencia
Diciembre 2010,6.6,valencia
Noviembre 2010,6.6,valencia
Octubre 2010,6.5,valencia
Septiembre 2010,6.6,valencia
Agosto 2010,6.7,valencia
Julio 2010,6.8,valencia
Junio 2010,6.8,valencia
Mayo 2010,6.9,valencia
Abril 2010,6.9,valencia
Marzo 2010,6.9,valencia
Febrero 2010,7.1,valencia
Enero 2010,6.9,valencia
Diciembre 2009,7.1,valencia
Noviembre 2009,7.1,valencia
Octubre 2009,7.1,valencia
Septiembre 2009,7.2,valencia
Agosto 2009,7.3,valencia
Julio 2009,7.2,valencia
Junio 2009,7.3,valencia
Mayo 2009,7.2,valencia
Abril 2009,7.5,valencia
Marzo 2009,8.2,valencia
Febrero 2009,8.4,valencia
Enero 2009,8.2,valencia
Diciembre 2008,8.4,valencia
Noviembre 2008,8.9,valencia
Octubre 2008,8.7,valencia
Septiembre 2008,.,valencia
Agosto 2008,.,valencia
Julio 2008,.,valencia
Junio 2008,.,valencia
Mayo 2008,.,valencia
Abril 2008,.,valencia
Marzo 2008,.,valencia
Febrero 2008,.,valencia
Enero 2008,.,valencia
Diciembre 2007,.,valencia
Noviembre 2007,.,valencia
Octubre 2007,.,valencia
Septiembre 2007,.,valencia
Agosto 2007,.,valencia
Julio 2007,.,valencia
Junio 2007,.,valencia
Mayo 2007,.,valencia
Abril 2007,.,valencia
Marzo 2007,.,valencia
