license,name,address,cdpostal,localidad
VT-543,COSTANILLA DE LOS DESAMPARADOS,CSTAN de los Desamparados 4,28014.0,Madrid
VT-550,"PASEO DEL PRADO, 16 4º , 411",PASEO del Prado 16,28014.0,Madrid
VT-533,,CALLE del Marqués de Santa Ana 21,28004.0,Madrid
VT-464,GRANADA 33,CALLE de Granada 33,28007.0,Madrid
VT-465,HERNAN CORTES,CALLE de Hernán Cortés 10,28004.0,Madrid
VT-475,FERNOVA INVERSION Y DESARROLLO,CALLE de las Huertas 12,,Madrid
VT-479,"PRÍNCIPE, 15, 6 B",CALLE del Príncipe 15,28012.0,Madrid
VT-480,"MATILDE LANDA, 22, BAJO A",CALLE de Matilde Landa 22,28029.0,Madrid
VT-481,"MATILDE LANDA, 22, 1A",CALLE de Matilde Landa 22,28029.0,Madrid
VT-482,"MATILDE LANDA, 22, 1B",CALLE de Matilde Landa 22,28029.0,Madrid
VT-483,"MATILDE LANDA, 22, 1C",CALLE de Matilde Landa 22,28029.0,Madrid
VT-484,"MATILDE LANDA, 22, 1D",CALLE de Matilde Landa 22,28029.0,Madrid
VT-486,"MATILDE LANDA, 22, 1F",CALLE de Matilde Landa 22,28029.0,Madrid
VT-487,"MATILDE LANDA, 22, 1G",CALLE de Matilde Landa 22,28029.0,Madrid
VT-488,"MATILDE LANDA, 22, 2A",CALLE de Matilde Landa 22,28029.0,Madrid
VT-489,"MATILDE LANDA, 22, 2B",CALLE de Matilde Landa 22,28029.0,Madrid
VT-490,"MATILDE LANDA, 22, 2C",CALLE de Matilde Landa 22,28029.0,Madrid
VT-491,"MATILDE LANDA, 22, 2D",CALLE de Matilde Landa 22,28029.0,Madrid
VT-492,"MATILDE LANDA, 22, 2E",CALLE de Matilde Landa 22,28029.0,Madrid
VT-493,"MATILDE LANDA, 22, 2F",CALLE de Matilde Landa 22,28029.0,Madrid
VT-494,"MATILDE LANDA, 22, 2G",CALLE de Matilde Landa 22,28029.0,Madrid
VT-495,"MATILDE LANDA, 22, 3A",CALLE de Matilde Landa 22,28029.0,Madrid
VT-496,"MATILDE LANDA, 22, 3B",CALLE de Matilde Landa 22,28029.0,Madrid
VT-497,"MATILDE LANDA, 22, 3C",CALLE de Matilde Landa 22,28029.0,Madrid
VT-498,"MATILDE LANDA, 22,3D",CALLE de Matilde Landa 22,28029.0,Madrid
VT-499,"MATILDE LANDA, 22, 3E",CALLE de Matilde Landa 22,28029.0,Madrid
VT-515,COSTANILLA DE LOS DESAMPARADOS 4,CSTAN de los Desamparados 4,28014.0,Madrid
VT-342,GUILLERMO DE OSMA 25,CALLE de Guillermo de Osma 25,28045.0,Madrid
VT-551,"PASEO DEL PRADO, 16",PASEO del Prado 16,28014.0,Madrid
VT-560,FUENTES 5 3º D,CALLE de las Fuentes 5,28013.0,Madrid
VT-577,SALITRE 25,CALLE de Salitre 25,28012.0,Madrid
VT-650,CADIZ 4,CALLE de Cádiz 4,28012.0,Madrid
VT-654,TIRSO DE MOLINA SUITES I,PLAZA de Tirso de Molina 5,28012.0,Madrid
VT-655,TIRSO DE MOLINA SUITES II,PLAZA de Tirso de Molina 5,28012.0,Madrid
VT-656,TIRSO DE MOLINA SUITES III,PLAZA de Tirso de Molina 5,28012.0,Madrid
VT-660,WOOTRAVELLING PLAZA ORIENTE HOMTELS 305,CUSTA de San Vicente 10,,Madrid
VT-661,WOOTRAVELLING PLAZA DE ORIENTE HOMTELS 107,CUSTA de San Vicente 12,,Madrid
VT-662,WOOTRAVELLING PLAZA DE ORIENTE HOMTELS 209,CUSTA de San Vicente 12,,Madrid
VT-665,WOOTRAVELLING PLAZA ORIENTE HOMTELS 202,CUSTA de San Vicente 10,,Madrid
VT-666,WOOTRAVELLING PLAZA ORIENTE HOMTELS 601,CUSTA de San Vicente 10,,Madrid
VT-667,WOOTRAVELLING PLAZA ORIENTE HOMTELS 602,CUSTA de San Vicente 10,,Madrid
VT-668,WOOTRAVELLING PLAZA ORIENTE HOMTELS 603,CUSTA de San Vicente 10,,Madrid
VT-669,WOOTRAVELLING PLAZA ORIENTE HOMTELS 604,CUSTA de San Vicente 10,,Madrid
VT-670,"ALMADEN, Nº 17,1º A",CALLE de Almadén 17,28014.0,Madrid
VT-672,GLEEN HOUSE SOMBRERERIA,CALLE de Sombrerería 24,28012.0,Madrid
VT-673,SAN NICOLAS 9,CALLE de San Nicolás 9,28013.0,Madrid
VT-679,LOS VENTANALES-PLAZA MAYOR,CALLE de Toledo 81,28005.0,Madrid
VT-680,GREEN HOUSE MALASAÑA,TRVA de las Pozas 4,28004.0,Madrid
VT-683,"HORNO DE LA MATA, 9 1º C",TRVA del Horno de la Mata 9,28004.0,Madrid
VT-684,LOS RIOS,CALLE de Fernández de los Ríos 70,28015.0,Madrid
VT-805,MEDIODIA CHICA 5,CALLE del Mediodía Chica 5,28005.0,Madrid
VT-810,SPLENDIDO PLAZA ESPAÑA,CALLE de Ferraz 8,28008.0,Madrid
VT-811,LAS LETRAS,CALLE de Moratín 4,28014.0,Madrid
VT-813,"GALDO 1, 5º B",CALLE de Galdo 1,28013.0,Madrid
VT-685,"SAN BERNARDO, Nº 87, 1º B",CALLE de San Bernardo 87,,Madrid
VT-686,"SAN BERNARDO, Nº 87, 2º B",CALLE de San Bernardo 87,,Madrid
VT-692,"SAN BERNARDO, Nº 87, 3º D",CALLE de San Bernardo 87,,Madrid
VT-693,"SAN BERNARDO, Nº 87, 6º A",CALLE de San Bernardo 87,,Madrid
VT-694,"ERNARDO, Nº 87, 2º A",CALLE de San Bernardo 87,,Madrid
VT-695,"SAN BERNARDO, Nº 87, 3º E",CALLE de San Bernardo 87,,Madrid
VT-696,"SAN BERNARDO, Nº 87, 1º C",CALLE de San Bernardo 87,,Madrid
VT-697,"SAN BERNARDO, Nº 87, 2º E",CALLE de San Bernardo 87,,Madrid
VT-698,"SAN BERNARDO, Nº 87, 3º A",CALLE de San Bernardo 87,,Madrid
VT-706,"SAN BERNARDO, Nº 87, 2º D",CALLE de San Bernardo 87,,Madrid
VT-707,"SAN BERNARDO, Nº 87, 2º C",CALLE de San Bernardo 87,,Madrid
VT-708,SANTA ANA,CALLE del Marqués de Santa Ana 21,28004.0,Madrid
VT-709,VENTURA RODRIGUEZ II,CALLE de Ventura Rodríguez 18,28008.0,Madrid
VT-710,"VENTURA RODRIGUEZ, 18, 1º C",CALLE de Ventura Rodríguez 18,28008.0,Madrid
VT-711,INDEPENDENCIA,CALLE de la Independencia 4,28013.0,Madrid
VT-712,"MAYOR 1, 2º 30",CALLE Mayor 1,28013.0,Madrid
VT-713,"MAYOR, Nº 58, 7º H",CALLE Mayor 58,28013.0,Madrid
VT-714,ARGANZUELA,CALLE de Arganzuela 6,28005.0,Madrid
VT-717,DUQUE DE OSUNA,CALLE del Duque de Osuna 8,28015.0,Madrid
VT-721,MENENDEZ PELAYO III,AVDA de Menéndez Pelayo 17,,Madrid
VT-724,PLAZA MAYOR BALCONES,PLAZA Mayor 30,28012.0,Madrid
VT-726,TURISMO VIAJES Y SALUD,CALLE del Gobernador 31,28014.0,Madrid
VT-727,"ATOCHA, 47 2º A",CALLE de Atocha 47,28012.0,Madrid
VT-734,GRUPO VELOREY,CALLE de Hortaleza 18,28004.0,Madrid
VT-735,GRUPO VELOREY,CALLE de Hortaleza 10,28004.0,Madrid
VT-739,GRUPO VELOREY,CALLE de la Chinchilla 1,28013.0,Madrid
VT-742,METROPOL SANTA ANA,PLAZA de Santa Ana 1,28012.0,Madrid
VT-745,TOLEDO 97,CALLE de Toledo 97,28005.0,Madrid
VT-749,"RELOJ, 14, 1º B",CALLE del Reloj 14,28013.0,Madrid
VT-751,ESCALINATA 17,CALLE de la Escalinata 17,28013.0,Madrid
VT-754,"SANTA MARIA DE LA CABEZA, Nº 13, 7º D",PASEO de Santa María de la Cabeza 13,,Madrid
VT-755,"ATOCHA, 43 5º D",CALLE de Atocha 43,28012.0,Madrid
VT-756,CASTILLA 28,CALLE de Castilla 28,28039.0,Madrid
VT-757,"SAN BERNARDO, Nº 87, 1º D",CALLE de San Bernardo 87,,Madrid
VT-759,"NAVAS DE TOLOSA, 9, 3º , 2",CALLE de las Navas de Tolosa 9,28013.0,Madrid
VT-760,SAN ONOFRE 1,CALLE de San Onofre 1,28004.0,Madrid
VT-761,ANA,CALLE del Marqués de Santa Ana 23,28004.0,Madrid
VT-762,ANCORA,CALLE de Áncora 3,28045.0,Madrid
VT-763,PUERTO ALTO 4,CALLE del Puerto Alto 4,28053.0,Madrid
VT-764,ESPRONCEDA 38,CALLE de Espronceda 38,28003.0,Madrid
VT-765,FUCAR 15,CALLE de Fucar 15,28014.0,Madrid
VT-772,"RONDA SEGOVIA 75, 4º A",RONDA de Segovia 75,28005.0,Madrid
VT-773,AMPARO 94 4 E,CALLE del Amparo 94,28012.0,Madrid
VT-775,CARDENAL CISNEROS 9,CALLE del Cardenal Cisneros 9,28010.0,Madrid
VT-776,HERMOSILLA 149-BAJO A,CALLE de Hermosilla 149,,Madrid
VT-2705,"CONDE DUQUE, 7",CALLE del Conde Duque 7,28015.0,Madrid
